frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
14,0.463,0.952,1.780,0.363,1.412,0.291,0.772,1.146
4,0.857,0.857,0.857,0.135,0.269,0.814,0.814,0.814
3,0.663,0.663,0.663,0.096,0.287,0.882,0.882,0.882
4,0.909,0.909,0.909,0.150,0.301,0.850,0.875,0.901
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
9,0.503,0.680,0.849,0.114,0.290,0.550,0.661,0.862
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
4,0.956,0.956,0.956,0.140,0.279,0.836,0.836,0.836
6,0.656,0.676,0.696,0.157,0.329,0.549,0.572,0.595
4,0.871,0.871,0.871,0.146,0.292,0.883,0.883,0.883
