class,frame_count,area_min,area_avg,area_max,beg_to_min_avg,beg_to_min_max,min_to_end_min,min_to_end_avg,min_to_end_max
Not Sleepy,2,0.399,0.399,0.399,0.000,0.000,0.542,0.542,0.542
Not Sleepy,6,0.523,0.528,0.534,0.117,0.303,0.557,0.582,0.608
Not Sleepy,7,0.719,0.743,0.767,0.380,0.849,0.278,0.568,0.859
Not Sleepy,12,0.251,0.606,1.025,0.093,0.281,0.288,0.706,1.132
Not Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,10,0.238,0.366,1.012,0.135,0.909,0.280,0.295,0.303
Not Sleepy,6,1.321,1.321,1.321,0.138,0.277,1.377,1.377,1.377
Not Sleepy,13,0.254,0.606,1.210,0.113,0.302,0.290,0.607,1.570
Not Sleepy,1,0.265,0.265,0.265,0.000,0.000,0.291,0.291,0.291
Not Sleepy,16,0.244,0.452,1.305,0.032,0.287,0.282,0.550,1.751
Sleepy,29,0.220,0.855,2.784,0.563,2.912,0.278,0.774,1.757
Sleepy,25,0.144,0.710,1.319,0.167,0.580,0.274,1.126,2.447
Sleepy,8,0.177,0.410,0.654,0.227,0.570,0.554,0.566,0.578
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sleepy,7,0.612,0.613,0.614,0.145,0.293,0.592,0.734,0.877
Sleepy,5,0.822,0.822,0.822,0.144,0.289,1.163,1.163,1.163
Sleepy,12,0.898,0.927,0.955,0.446,0.890,0.889,0.895,0.902
Sleepy,8,0.220,0.554,0.888,0.467,1.119,0.296,0.563,0.831
Sleepy,13,0.861,0.989,1.116,0.337,0.868,0.868,1.158,1.448
Sleepy,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Not Sleepy,24,0.547,1.179,3.065,0.312,1.058,0.279,0.877,2.184
Not Sleepy,4,0.818,0.818,0.818,0.094,0.281,0.854,0.854,0.854
Not Sleepy,5,0.209,0.561,0.912,0.184,0.280,0.825,4.695,8.565
Not Sleepy,135,0.264,2.015,11.153,0.721,3.818,0.273,1.579,10.359
Not Sleepy,44,0.793,5.277,9.762,1.397,3.360,0.814,4.380,7.946
Not Sleepy,2,0.499,0.499,0.499,0.000,0.000,0.569,0.569,0.569
Not Sleepy,21,0.274,0.759,1.635,0.536,3.857,0.272,0.567,1.129
Not Sleepy,89,0.262,1.629,10.217,1.655,12.792,0.273,1.125,5.020
Not Sleepy,158,0.265,3.200,33.091,6.200,49.593,0.275,0.854,5.487
Not Sleepy,35,0.277,0.942,2.141,0.290,1.353,0.272,0.686,1.180
Sleepy,50,0.264,0.671,1.986,0.194,1.052,0.269,0.545,1.665
Sleepy,47,0.250,0.612,2.296,0.267,1.480,0.268,0.465,1.191
Sleepy,51,0.253,1.082,7.342,0.352,1.460,0.269,1.134,8.936
Sleepy,24,0.269,0.706,1.888,0.310,2.052,0.274,0.491,1.115
Sleepy,16,0.271,0.411,0.864,0.100,0.546,0.268,0.340,0.583
Sleepy,16,0.269,1.067,2.668,0.313,1.370,0.269,0.682,1.364
Sleepy,45,0.272,2.267,8.795,0.199,0.592,0.280,2.219,9.093
Sleepy,37,0.271,1.030,5.970,0.278,2.796,0.268,0.804,3.910
Sleepy,22,0.266,0.475,1.377,0.055,0.278,0.276,0.441,1.386
Sleepy,55,0.272,2.081,7.862,0.187,0.563,0.264,2.320,9.415
Not Sleepy,19,0.298,0.753,1.397,0.145,0.570,0.281,0.578,0.873
Not Sleepy,3,0.837,0.837,0.837,0.155,0.311,0.610,0.610,0.610
Not Sleepy,41,0.285,0.916,2.521,0.230,1.784,0.270,0.609,2.095
Not Sleepy,51,0.222,0.823,2.793,0.245,1.737,0.284,0.580,1.436
Not Sleepy,19,0.290,0.579,1.280,0.125,0.606,0.281,0.449,1.153
Not Sleepy,4,0.288,0.545,0.802,0.097,0.292,0.278,0.428,0.578
Not Sleepy,15,0.856,0.971,1.082,0.145,0.294,0.582,0.799,0.887
Not Sleepy,15,0.294,0.818,1.402,0.160,0.560,0.281,0.624,0.854
Not Sleepy,19,0.296,0.467,0.877,0.060,0.560,0.272,0.399,0.856
Not Sleepy,3,0.616,0.616,0.616,0.151,0.302,0.601,0.601,0.601
Sleepy,14,0.226,0.322,0.853,0.000,0.000,0.278,0.404,1.138
